C27001A_007E,GEO_ID,NAME
1528,31001,"Adams County, Nebraska"
313,31003,"Antelope County, Nebraska"
32,31005,"Arthur County, Nebraska"
26,31007,"Banner County, Nebraska"
26,31009,"Blaine County, Nebraska"
248,31011,"Boone County, Nebraska"
552,31013,"Box Butte County, Nebraska"
146,31015,"Boyd County, Nebraska"
230,31017,"Brown County, Nebraska"
2794,31019,"Buffalo County, Nebraska"
417,31021,"Burt County, Nebraska"
352,31023,"Butler County, Nebraska"
1194,31025,"Cass County, Nebraska"
307,31027,"Cedar County, Nebraska"
236,31029,"Chase County, Nebraska"
169,31031,"Cherry County, Nebraska"
512,31033,"Cheyenne County, Nebraska"
436,31035,"Clay County, Nebraska"
994,31037,"Colfax County, Nebraska"
491,31039,"Cuming County, Nebraska"
534,31041,"Custer County, Nebraska"
1227,31043,"Dakota County, Nebraska"
601,31045,"Dawes County, Nebraska"
1496,31047,"Dawson County, Nebraska"
228,31049,"Deuel County, Nebraska"
232,31051,"Dixon County, Nebraska"
2848,31053,"Dodge County, Nebraska"
30153,31055,"Douglas County, Nebraska"
197,31057,"Dundy County, Nebraska"
204,31059,"Fillmore County, Nebraska"
122,31061,"Franklin County, Nebraska"
185,31063,"Frontier County, Nebraska"
327,31065,"Furnas County, Nebraska"
977,31067,"Gage County, Nebraska"
121,31069,"Garden County, Nebraska"
40,31071,"Garfield County, Nebraska"
82,31073,"Gosper County, Nebraska"
53,31075,"Grant County, Nebraska"
118,31077,"Greeley County, Nebraska"
4338,31079,"Hall County, Nebraska"
337,31081,"Hamilton County, Nebraska"
178,31083,"Harlan County, Nebraska"
74,31085,"Hayes County, Nebraska"
247,31087,"Hitchcock County, Nebraska"
469,31089,"Holt County, Nebraska"
37,31091,"Hooker County, Nebraska"
278,31093,"Howard County, Nebraska"
322,31095,"Jefferson County, Nebraska"
205,31097,"Johnson County, Nebraska"
313,31099,"Kearney County, Nebraska"
480,31101,"Keith County, Nebraska"
34,31103,"Keya Paha County, Nebraska"
344,31105,"Kimball County, Nebraska"
234,31107,"Knox County, Nebraska"
14440,31109,"Lancaster County, Nebraska"
2539,31111,"Lincoln County, Nebraska"
54,31113,"Logan County, Nebraska"
26,31115,"Loup County, Nebraska"
17,31117,"McPherson County, Nebraska"
2051,31119,"Madison County, Nebraska"
525,31121,"Merrick County, Nebraska"
367,31123,"Morrill County, Nebraska"
160,31125,"Nance County, Nebraska"
387,31127,"Nemaha County, Nebraska"
180,31129,"Nuckolls County, Nebraska"
625,31131,"Otoe County, Nebraska"
247,31133,"Pawnee County, Nebraska"
112,31135,"Perkins County, Nebraska"
190,31137,"Phelps County, Nebraska"
279,31139,"Pierce County, Nebraska"
2036,31141,"Platte County, Nebraska"
425,31143,"Polk County, Nebraska"
692,31145,"Red Willow County, Nebraska"
574,31147,"Richardson County, Nebraska"
109,31149,"Rock County, Nebraska"
1134,31151,"Saline County, Nebraska"
5884,31153,"Sarpy County, Nebraska"
746,31155,"Saunders County, Nebraska"
2468,31157,"Scotts Bluff County, Nebraska"
601,31159,"Seward County, Nebraska"
359,31161,"Sheridan County, Nebraska"
229,31163,"Sherman County, Nebraska"
78,31165,"Sioux County, Nebraska"
205,31167,"Stanton County, Nebraska"
207,31169,"Thayer County, Nebraska"
15,31171,"Thomas County, Nebraska"
153,31173,"Thurston County, Nebraska"
265,31175,"Valley County, Nebraska"
889,31177,"Washington County, Nebraska"
282,31179,"Wayne County, Nebraska"
217,31181,"Webster County, Nebraska"
65,31183,"Wheeler County, Nebraska"
602,31185,"York County, Nebraska"
