Ranking,County,Adherents,Percent
153,Acadia Parish,,
136,Ada County,635,0.16
149,Adams County,151,0.03
134,Adams County,122,0.18
139,Adams County,43,0.13
153,Adams County,,
153,Adams County,,
140,Aiken County,200,0.12
106,Alachua County,1164,0.47
92,Alameda County,9214,0.61
42,Albany County,5028,1.65
117,Albany County,127,0.35
153,Albemarle County,,
153,Alexander County,,
29,Alexandria city,3144,2.25
153,Allamakee County,,
129,Allegany County,173,0.23
53,Allegheny County,16732,1.37
138,Allen County,497,0.14
137,Allen County,157,0.15
153,Allen Parish,,
146,Alpena County,19,0.06
153,Alpine County,,
153,Amador County,,
153,Amherst County,,
136,Anchorage Municipality,476,0.16
153,Anderson County,,
153,Anderson County,,
153,Androscoggin County,,
130,Anne Arundel County,1207,0.22
153,Anoka County,,
149,Arapahoe County,185,0.03
129,Arlington County,478,0.23
153,Armstrong County,,
153,Ascension Parish,,
149,Ashtabula County,32,0.03
153,Athens County,,
50,Atlantic County,3907,1.42
153,Auglaize County,,
153,Augusta County,,
153,Baldwin County,,
12,Baltimore city,26912,4.33
31,Baltimore County,17414,2.16
153,Bannock County,,
80,Barnstable County,1694,0.78
153,Barrow County,,
146,Bartholomew County,46,0.06
153,Barton County,,
144,Bay County,127,0.08
132,Bay County,216,0.2
110,Beaufort County,678,0.42
153,Beaver County,,
119,Belknap County,197,0.33
153,Belmont County,,
153,Ben Hill County,,
79,Bennington County,292,0.79
153,Bent County,,
153,Benton County,,
144,Benton County,138,0.08
14,Bergen County,38121,4.21
153,Berkeley County,,
153,Berkeley County,,
122,Berks County,1248,0.3
33,Berkshire County,2779,2.12
114,Bernalillo County,2536,0.38
136,Berrien County,248,0.16
121,Bexar County,5303,0.31
111,Bibb County,645,0.41
141,Black Hawk County,143,0.11
111,Blair County,527,0.41
153,Blount County,,
153,Blount County,,
134,Bolivar County,62,0.18
153,Boone County,,
153,Boone County,,
153,Boone County,,
125,Boone County,440,0.27
153,Bossier Parish,,
153,Botetourt County,,
79,Boulder County,2337,0.79
153,Bourbon County,,
144,Bowie County,76,0.08
153,Boyd County,,
153,Bradford County,,
153,Bradford County,,
153,Brazoria County,,
144,Brazos County,157,0.08
153,Bremer County,,
142,Brevard County,518,0.1
109,Bristol County,2378,0.43
69,Bristol County,470,0.94
65,Bronx County,13672,0.99
69,Broome County,1895,0.94
57,Broward County,21778,1.25
145,Brown County,24,0.07
145,Brown County,184,0.07
145,Buchanan County,62,0.07
51,Bucks County,8668,1.39
106,Buncombe County,1113,0.47
153,Burke County,,
153,Burleigh County,,
95,Burlington County,2587,0.58
153,Butler County,,
140,Butler County,453,0.12
153,Butler County,,
151,Butte County,32,0.01
153,Butts County,,
153,Cabarrus County,,
120,Cabell County,308,0.32
129,Caddo Parish,583,0.23
144,Calcasieu Parish,154,0.08
153,Caledonia County,,
142,Calhoun County,113,0.1
147,Calhoun County,70,0.05
153,Cambria County,,
34,Camden County,10426,2.03
153,Cameron County,,
153,Campbell County,,
153,Campbell County,,
153,Canadian County,,
153,Cape May County,,
153,Carbon County,,
153,Carroll County,,
153,Carroll County,,
153,Carroll County,,
153,Carter County,,
153,Carter County,,
153,Carver County,,
143,Cascade County,76,0.09
153,Cass County,,
147,Cass County,76,0.05
142,Catawba County,151,0.1
142,Cattaraugus County,84,0.1
146,Cayuga County,46,0.06
118,Centre County,529,0.34
153,Cerro Gordo County,,
115,Champaign County,751,0.37
153,Charles City County,,
140,Charles County,178,0.12
89,Charleston County,2319,0.66
130,Charlotte County,357,0.22
153,Charlottesville city,,
153,Charlton County,,
63,Chatham County,2910,1.1
153,Chattahoochee County,,
146,Chautauqua County,84,0.06
153,Chaves County,,
153,Cheatham County,,
153,Chemung County,,
153,Chenango County,,
153,Cherokee County,,
116,Cheshire County,275,0.36
105,Chester County,2395,0.48
153,Chesterfield County,,
136,Chicot County,19,0.16
153,Chisago County,,
69,Chittenden County,1472,0.94
153,Christian County,,
153,Citrus County,,
145,Clackamas County,251,0.07
153,Claiborne County,,
135,Clallam County,119,0.17
153,Clark County,,
153,Clark County,,
121,Clark County,5988,0.31
137,Clark County,208,0.15
144,Clark County,360,0.08
117,Clarke County,403,0.35
153,Clay County,,
153,Clay County,,
153,Clay County,,
153,Clay County,,
153,Clayton County,,
52,Clayton County,250,1.38
146,Clearfield County,49,0.06
153,Clermont County,,
153,Cleveland County,,
153,Clinton County,,
153,Clinton County,,
126,Clinton County,213,0.26
139,Clinton County,51,0.13
153,Coahoma County,,
105,Cobb County,3309,0.48
146,Cochise County,76,0.06
139,Coconino County,173,0.13
